Entity,Code,Year,"Crops - Coffee, green - 656 - Yield - 5419 - hg/ha"
Africa,,1961,4031
Africa,,1962,3396
Africa,,1963,3663
Africa,,1964,4156
Africa,,1965,3727
Africa,,1966,3988
Africa,,1967,3526
Africa,,1968,3962
Africa,,1969,4124
Africa,,1970,4237
Africa,,1971,4024
Africa,,1972,4149
Africa,,1973,4256
Africa,,1974,3880
Africa,,1975,4169
Africa,,1976,3824
Africa,,1977,3940
Africa,,1978,3384
Africa,,1979,3489
Africa,,1980,3616
Africa,,1981,3956
Africa,,1982,3619
Africa,,1983,3437
Africa,,1984,3291
Africa,,1985,3742
Africa,,1986,4065
Africa,,1987,4021
Africa,,1988,3885
Africa,,1989,4112
Africa,,1990,3866
Africa,,1991,4025
Africa,,1992,4275
Africa,,1993,3699
Africa,,1994,4407
Africa,,1995,4132
Africa,,1996,4638
Africa,,1997,4455
Africa,,1998,4367
Africa,,1999,4854
Africa,,2000,4972
Africa,,2001,4967
Africa,,2002,5423
Africa,,2003,4317
Africa,,2004,4267
Africa,,2005,4344
Africa,,2006,4397
Africa,,2007,4119
Africa,,2008,4419
Africa,,2009,4246
Africa,,2010,4621
Africa,,2011,5479
Africa,,2012,4096
Africa,,2013,4348
Africa,,2014,4254
Africa,,2015,4038
Africa,,2016,4183
Africa,,2017,4921
Africa,,2018,4437
Americas,,1961,4787
Americas,,1962,4752
Americas,,1963,4053
Americas,,1964,3563
Americas,,1965,5654
Americas,,1966,4258
Americas,,1967,5044
Americas,,1968,4402
Americas,,1969,4922
Americas,,1970,4180
Americas,,1971,5621
Americas,,1972,5575
Americas,,1973,4801
Americas,,1974,6094
Americas,,1975,5464
Americas,,1976,4556
Americas,,1977,5229
Americas,,1978,5645
Americas,,1979,5673
Americas,,1980,5043
Americas,,1981,6666
Americas,,1982,5507
Americas,,1983,6411
Americas,,1984,5944
Americas,,1985,6410
Americas,,1986,5193
Americas,,1987,6639
Americas,,1988,5448
Americas,,1989,5464
Americas,,1990,5989
Americas,,1991,6145
Americas,,1992,6327
Americas,,1993,5943
Americas,,1994,5965
Americas,,1995,5997
Americas,,1996,6712
Americas,,1997,6403
Americas,,1998,7085
Americas,,1999,6706
Americas,,2000,7442
Americas,,2001,7174
Americas,,2002,8348
Americas,,2003,7169
