Year,Beef,Lamb,Pork,Barley,Corn,Rice,Rye,Wheat,Cocoa,Coffee,Palm oil,Peanuts,Sugar,Tea
1850,76.80694471,78.36911985,55.13065906,116.8384226,98.80268838,124.9669749,189.6575143,98.04872698,79.91210062,138.9906694,117.3051519,,210.8425933,191.1221759
1851,78.46539425,81.92319129,76.30844038,126.4721324,98.94129557,118.7584345,205.8352318,70.05146382,78.66895814,120.2754219,111.8488529,,224.0110079,182.4457594
1852,80.21488969,81.04817723,92.36371987,143.7136162,106.7651641,132.176235,224.2432444,68.53605593,63.19299031,112.3801728,114.6061415,,196.0470169,155.1641505
1853,100.9155064,99.46821751,84.03927551,166.8283937,109.2369243,160.0801068,200.9218993,111.9464869,92.88047956,115.685472,146.2216288,,221.618367,193.1635343
1854,102.3809524,91.52542373,67.31146854,166.4530656,118.1766805,166.2162162,146.9032611,152.599007,94.58436926,123.1751825,174.5454545,,196.0784314,180.6526807
1855,101.7615638,87.25779701,84.30487719,156.7455104,135.8427906,170.6443914,119.3020423,178.457213,91.87550904,116.6932332,155.4176611,,220.9368712,170.4975216
1856,96.6689839,88.95624562,86.45023267,188.184438,97.08020591,133.8199513,187.6526826,144.3562611,93.66384012,129.5058045,151.2408759,,256.3045656,168.6224967
1857,96.21749409,88.06346917,99.91264282,187.2946771,106.9439644,133.9243499,177.4822415,123.6765093,85.80632648,128.7582038,157.4468085,,309.4052751,195.2385282
1858,99.57632176,88.17382439,80.96384645,164.1307881,110.7463326,104.7619048,220.6937656,93.49119322,90.04874453,128.7472026,144.6616541,,264.0129736,196.8768074
1859,98.58797117,90.72212642,88.14957185,156.8981915,124.3123092,117.369727,183.3936435,125.2990213,76.41853754,138.2197388,165.2605459,,245.5505279,218.6994974
1860,100.9925558,95.85734113,101.2427438,171.3739175,107.5652548,140.5707196,193.5643643,132.4284108,71.86981507,147.4343881,168.9330025,,253.4715127,219.523446
1861,95.31615925,88.85404676,66.8236327,159.097382,63.31989147,136.5339578,226.9292148,96.7246951,69.54751648,159.4400474,155.971897,,216.7975387,189.0770432
